timestamp,server,cpu_percent,memory_gb,network_mbps
2026-05-18 00:00,srv-web-01,37.98,5.89,129.72
2026-05-18 01:00,srv-web-01,44.14,5.81,116.49
2026-05-18 02:00,srv-web-01,44.48,6.61,112.96
2026-05-18 03:00,srv-web-01,38.26,5.63,113.01
2026-05-18 04:00,srv-web-01,36.45,4.47,94.13
2026-05-18 05:00,srv-web-01,31.63,5.19,124.71
2026-05-18 06:00,srv-web-01,29.55,4.87,141.98
2026-05-18 07:00,srv-web-01,33.65,6.05,98.63
2026-05-18 08:00,srv-web-01,31.73,6.09,102.74
2026-05-18 09:00,srv-web-01,37.25,5.52,115.62
2026-05-18 10:00,srv-web-01,31.39,7.48,119.8
2026-05-18 11:00,srv-web-01,28.65,6.66,101.69
2026-05-18 12:00,srv-web-01,36.25,4.43,100.08
2026-05-18 13:00,srv-web-01,36.18,6.59,122.57
2026-05-18 14:00,srv-web-01,34.31,5.76,97.82
2026-05-18 15:00,srv-web-01,30.68,5.63,135.86
2026-05-18 16:00,srv-web-01,37.06,4.59,124.86
2026-05-18 17:00,srv-web-01,32.69,5.46,129.18
2026-05-18 18:00,srv-web-01,41.19,6.75,107.41
2026-05-18 19:00,srv-web-01,33.14,6.27,134.63
2026-05-18 20:00,srv-web-01,32.12,5.85,103.4
2026-05-18 21:00,srv-web-01,27.82,6.65,140.34
2026-05-18 22:00,srv-web-01,34.57,6.8,125.42
2026-05-18 23:00,srv-web-01,31.13,6.29,143.07
2026-05-19 00:00,srv-web-01,34.79,7.25,80.7
2026-05-19 01:00,srv-web-01,39.93,6.07,115.51
2026-05-19 02:00,srv-web-01,35.55,4.41,116.7
2026-05-19 03:00,srv-web-01,37.14,7.18,112.23
2026-05-19 04:00,srv-web-01,30.15,5.6,133.73
2026-05-19 05:00,srv-web-01,36.97,5.58,127.7
2026-05-19 06:00,srv-web-01,35.58,6.77,109.47
2026-05-19 07:00,srv-web-01,33.03,5.69,98.05
2026-05-19 08:00,srv-web-01,36.78,6.21,120.08
2026-05-19 09:00,srv-web-01,33.59,4.87,113.69
2026-05-19 10:00,srv-web-01,32.94,5.36,117.58
2026-05-19 11:00,srv-web-01,37.42,7.51,122.62
2026-05-19 12:00,srv-web-01,36.55,5.94,91.22
2026-05-19 13:00,srv-web-01,34.84,6.05,156.95
2026-05-19 14:00,srv-web-01,33.85,6.24,119.48
2026-05-19 15:00,srv-web-01,27.99,6.91,131.28
2026-05-19 16:00,srv-web-01,39.75,5.27,141.04
2026-05-19 17:00,srv-web-01,26.59,6.47,152.86
2026-05-19 18:00,srv-web-01,29.06,5.55,121.49
2026-05-19 19:00,srv-web-01,31.98,4.76,121.03
2026-05-19 20:00,srv-web-01,28.63,6.38,106.21
2026-05-19 21:00,srv-web-01,44.3,5.37,115.17
2026-05-19 22:00,srv-web-01,39.88,5.02,123.41
2026-05-19 23:00,srv-web-01,,4.71,122.77
2026-05-20 00:00,srv-web-01,36.56,6.63,101.45
2026-05-20 01:00,srv-web-01,27.08,6.42,124.45
2026-05-20 02:00,srv-web-01,36.5,6.28,109.8
2026-05-20 03:00,srv-web-01,36.39,6.23,109.28
2026-05-20 04:00,srv-web-01,46.19,6.38,102.13
2026-05-20 05:00,srv-web-01,38.94,5.22,131.81
2026-05-20 06:00,srv-web-01,41.95,5.34,134.45
2026-05-20 07:00,srv-web-01,37.48,6.66,148.45
2026-05-20 08:00,srv-web-01,33.53,5.4,106.66
2026-05-20 09:00,srv-web-01,30.11,5.94,125.12
2026-05-20 10:00,srv-web-01,36.66,6.66,120.2
2026-05-20 11:00,srv-web-01,43.72,5.79,160.8
2026-05-20 12:00,srv-web-01,38.75,5.31,103.94
2026-05-20 13:00,srv-web-01,37.89,5.82,130.71
2026-05-20 14:00,srv-web-01,37.84,5.94,107.3
2026-05-20 15:00,srv-web-01,25.91,5.64,132.85
2026-05-20 16:00,srv-web-01,36.28,5.0,122.6
2026-05-20 17:00,srv-web-01,37.31,5.29,122.31
2026-05-20 18:00,srv-web-01,35.35,5.09,125.37
2026-05-20 19:00,srv-web-01,38.36,6.87,135.81
2026-05-20 20:00,srv-web-01,26.73,5.25,127.73
2026-05-20 21:00,srv-web-01,38.08,6.41,177.79
2026-05-20 22:00,srv-web-01,38.43,6.91,134.31
2026-05-20 23:00,srv-web-01,38.91,5.75,131.38
2026-05-21 00:00,srv-web-01,30.36,5.81,112.72
2026-05-21 01:00,srv-web-01,35.49,7.85,91.99
2026-05-21 02:00,srv-web-01,39.12,4.71,112.92
